1	3
2	1
3	1
4	1
5	0
6	1
7	0
8	1
9	1
10	1
11	0
12	1
13	2
14	1
15	1
16	1
17	1
18	1
19	1
20	2
21	1
22	0
23	2
24	2
25	1
26	0
27	0
28	1
29	0
30	1
31	2
32	1
33	1
34	0
35	1
36	1
37	1
38	2
39	1
40	2
41	0
42	1
43	0
44	2
45	0
46	0
47	1
48	1
49	1
50	2
51	1
52	1
53	2
54	2
55	1
56	1
57	0
58	1
59	1
60	0
61	0
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	0
71	2
72	1
73	0
74	1
75	1
76	2
77	2
78	1
79	2
80	0
81	2
82	1
83	1
84	0
85	0
86	2
87	1
88	1
89	1
90	0
91	0
92	0
93	1
94	0
95	1
96	0
97	0
98	1
99	1
100	1
101	0
102	0
103	0
104	0
105	1
106	0
107	0
108	0
109	0
110	0
111	0
112	1
113	0
114	1
115	1
116	1
117	2
118	0
119	1
120	1
121	0
122	0
123	0
124	1
125	0
126	0
127	1
128	1
129	1
130	1
131	0
132	1
133	1
134	2
135	1
136	1
137	1
138	2
139	2
140	0
141	0
142	0
143	1
144	0
145	2
146	1
147	0
148	0
149	0
150	1
151	0
152	1
153	1
154	1
155	0
156	1
157	1
158	0
159	0
160	0
161	0
162	0
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	0
173	1
174	1
175	1
176	1
177	0
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	0
189	1
190	1
191	1
192	0
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	0
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	0
221	1
222	0
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	0
235	1
236	0
237	1
238	0
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	0
269	1
270	1
271	1
272	0
273	1
274	0
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	0
289	1
290	1
291	2
292	1
293	1
294	0
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	0
306	1
307	1
308	1
309	1
310	1
311	1
312	0
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	0
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	0
340	1
341	1
342	1
343	1
344	1
345	1
346	0
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	0
355	1
356	1
357	1
358	1
359	1
360	1
361	1
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	1
377	1
378	1
379	1
380	1
381	1
382	1
383	1
384	1
385	0
386	1
387	1
388	1
389	1
390	1
391	1
392	1
393	1
394	1
395	1
396	1
397	1
398	1
399	1
400	1
401	1
402	1
403	1
404	1
405	1
406	1
407	1
408	1
409	1
410	1
411	1
412	1
413	1
414	1
415	1
416	1
417	1
418	1
419	1
420	1
421	1
422	1
423	1
424	0
425	1
426	1
427	1
428	1
429	1
430	1
431	1
432	1
433	1
434	1
435	1
436	1
437	1
438	1
439	1
440	1
441	2
442	1
443	2
444	1
445	2
446	1
447	1
448	1
449	1
450	0
451	1
452	2
453	1
454	0
455	1
456	1
457	1
458	1
459	1
460	1
461	1
462	1
463	1
464	1
